job_title,posting_date,company_name,location,seniority_level,employment_type,job_function,industries,experience,skills
Data Engineer,2023-01-12,CloudZone,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,2+,"Cassandra, Azure, SQL, Java, Apache, Kubeflow, Scala, GCP, Airflow, database, pipelines, DWH, Python, BigQuery, cloud, Redis, ETL, AWS, reports, Snowflake, Apache-Beam, NoSQL, Cloud, MongoDB, Spark, coding, Synapse, Elasticsearch, Kubernetes, C, Redshift"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",Unknown,"analysis, VBA, dashboards, programming, SQL, analyze, tableau, Marketing, mathematics, Python, ai, sql, r, English, statistics, server, java, python, R, marketing, Excel, pandas, ML, Analyze, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",2+,"analysis, VBA, programming, SQL, tableau, Python, ai, sql, r, statistics, server, java, python, R, marketing, Excel, pandas, ML, PowerBI, visualization, AI, mining"
Data Engineer,2023-01-14,Digital Turbine,"Petah Tikva, Center District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Advertising Services,6+,"Scala, BigData, NoSQL, Spark, Python, Hadoop, Java, Kafka, Apache"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Information Technology,"Technology, Information and Internet",6+,"analysis, programming, SQL, Scala, analyze, tableau, Python, Tableau, ai, sql, r, English, statistics, Pandas, server, java, python, R, Coding, pandas, ML, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",Unknown,"analysis, BigData, programming, SQL, tableau, Python, Tableau, ai, ETL, sql, r, statistics, server, java, python, R, Spark, pandas, ML, PowerBI, visualization, Hadoop, AI, mining"
Data Engineer,2023-01-12,JPMorgan Chase & Co.,"Herzliya, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,Financial Services,4+,"BigData, python, DB, NoSQL, programming, Spark, AWS, Hadoop, cloud, sql"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Information Technology,"Technology, Information and Internet",Unknown,"analysis, programming, Oracle, SQL, database, tableau, Server, ai, MySQL, sql, r, English, statistics, server, java, python, JIRA, pandas, ML, PowerBI, visualization, AI, mining"
Data Engineer,2023-01-14,Riverbed Technology,"Hod HaSharon, Center District, Israel",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Software Development,2+,"Vertica, DBA, BigData, database, Cloud, Azure, Python, Tableau, AWS"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",2+,"analysis, VBA, programming, AB, SQL, tableau, Python, Tableau, ai, sql, r, statistics, server, java, python, R, marketing, pandas, ML, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",6+,"analysis, programming, AB, SQL, tableau, economics, mathematics, Python, Tableau, ai, sql, r, statistics, Pandas, server, java, python, R, Spark, Excel, pandas, ML, PowerBI, visualization, C, AI, mining"
BI Developer,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",3+,"analysis, programming, SQL, tableau, Tableau, ai, ETL, sql, r, English, statistics, server, scrum, java, python, javascript, coding, pandas, ML, DBA, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Information Technology,"Technology, Information and Internet",Unknown,"analysis, VBA, dashboards, programming, SQL, analyze, tableau, Marketing, mathematics, Python, Tableau, ai, sql, r, statistics, English, server, java, python, R, marketing, Excel, pandas, ML, Analyze, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Information Technology,"Technology, Information and Internet",8+,"analysis, programming, SQL, Scala, analyze, tableau, Python, Tableau, ai, sql, r, English, statistics, Pandas, server, java, python, R, Coding, pandas, ML, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-12,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Business Development and Sales,"Technology, Information and Internet",3+,"analysis, VBA, programming, SQL, tableau, Python, ai, sql, r, statistics, server, java, python, R, marketing, Excel, pandas, ML, PowerBI, visualization, AI, mining"
Data Analyst,2023-01-13,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Finance and Sales,Software Development,3+,"English, analysis, Economics"
Data Analyst,2023-01-11,adidas,"Holon, Tel Aviv District, Israel",Not Applicable,Full-time,Quality Assurance and Supply Chain,"Sporting Goods Manufacturing, Manufacturing, and Retail",5+,Unknown
Data Scientist,2023-01-13,MSD Animal Health Intelligence Technology Labs,"Netanya, Center District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,3+,"statistics, Snowflake, python, programming, mathematics, SQL"
Data Analyst,2023-01-09,Artlist,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Product Management and Analyst,"Movies, Videos, and Sound",3+,"English, statistics, visualization, Excel, SQL, Tableau"
Data Analyst,2023-01-08,Konnecto,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Information Technology,Software Development,Unknown,"Analyze, analysis, marketing, BigData"
Data Analyst,2023-01-13,SQLink Group,"Tel Aviv District, Israel",Associate,Full-time,Engineering and Information Technology,"Software Development, Computer Networking Products, and Computer and Network Security",Unknown,"Analysis, reports, analysis"
Data Engineer,2023-01-09,HR Signal,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet",3+,"Postgres, mining, pipelines, js, Python, BigQuery, ETL"
ML/AI Engineer,2023-01-13,Dynamic Yield,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,Software Development,3+,"Scala, algorithms, ML, BigData, NoSQL, pipelines, Python, Spark, cloud, Redis, Java, Kafka, AWS"
Data Analyst,2023-01-13,Moon Active,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer Games,3+,"Economics, analysis, Industrial, Statistics, R, mathematics, Python, SQL"
Data Analyst,2023-01-09,Forter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Business Development and Sales,Software Development,2+,"English, Excel, analysis"
BI Developer,2023-01-13,Intel Corporation,"Haifa, Haifa District, Israel",Internship,Internship,Information Technology,Semiconductor Manufacturing,Unknown,"English, Analysis, analysis, Industrial, PowerBI, Cloud, SQL, Excel, html"
Data Analyst,2023-01-13,Perion Network,"Holon, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",Unknown,"English, analysis, DB, PowerBI, visualization, aws, SQL, Tableau"
BI Developer,2023-01-08,Game On Media,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Analyst,"Technology, Information and Internet",3+,"Analysis, OLAP, analysis, database, PowerBI, SQL, Tableau, ETL"
Data Scientist,2023-01-09,Flare,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet, Marketing Services, and Business Consulting and Services",4+,"PowerBI, Math, Statistics, marketing, Python, Visualization, SQL, Tableau"
Data Analyst,2023-01-13,Cognyte,"Herzliya, Tel Aviv District, Israel",Associate,Full-time,Analyst,Software Development,2+,"server, algorithms, Golang, programming, Cloud, coding, docker, JAVA"
Data Analyst,2023-01-13,Elementor,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Marketing and Analyst,"Technology, Information and Internet",2+,"dashboards, HTML, AB, SQL, Java, Looker"
Data Engineer,2023-01-10,Granulate,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Information Technology,Software Development,5+,"Linux, BigData, Oracle, APIs, spark, Postgres, Scala, DynamoDB, database, pipelines, Python, Redis, MySQL, AWS, DB, NoSQL, python, Cloud, MongoDB, Spark"
Data Analyst,2023-01-13,Wiliot,"Caesarea, Haifa District, Israel",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet",5+,"Plotly, PowerBI, Math, Python, Visualization, Tableau"
BI Developer,2023-01-08,Rise,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Business Development, Design, and Strategy/Planning",Advertising Services,2+,"Airflow, PowerBI, programming, Python, BigQuery, Git, SQL, Tableau, ETL"
Data Analyst,2023-01-13,HoneyBook,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Finance and Sales,Software Development,5+,"English, reports, analyze, algorithms, ML, database, visualization, SQL, Tableau, Looker"
Data Analyst,2023-01-13,SolarEdge Technologies,"Herzliya, Tel Aviv District, Israel",Mid-Senior level,Full-time,Analyst,Renewable Energy Semiconductor Manufacturing,Unknown,"analysis, programming, R, economics, Python, SQL, Excel"
Data Analyst,2023-01-13,Wiz,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer and Network Security,Unknown,"reports, analysis, R, Cloud, Python, cloud, SQL, Matlab"
Data Analyst,2023-01-08,At-Bay,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Insurance,3+,"Economics, English, analysis, Industrial, Math, Statistics, AB, SQL"
Data Engineer,2023-01-11,Wiz,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Computer and Network Security,4+,"Snowflake, Airflow, python, pipelines, cloud, BigQuery, SQL, Redshift"
ML/AI Engineer,2023-01-09,Apple,"Herzliya, Tel Aviv District, Israel",Not Applicable,Part-time,Information Technology,Computers and Electronics Manufacturing,Unknown,"Mathematics, ML, algorithms, analysis, Computer-Vision, DL, pipelines, coding, Python, pipeline"
Data Analyst,2023-01-10,Via,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,3+,"statistics, English, ML, algorithms, PowerBI, DB, visualization, R, mathematics, AI, Python, SQL, Tableau, ETL, Looker"
Data Scientist,2023-01-09,ZipRecruiter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",Unknown,"Mathematics, Linux, English, ML, Statistics, programming, DL, Python, NLP, AWS"
Data Analyst,2023-01-09,ICE,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"General Business, Information Technology, and Engineering",Financial Services,Unknown,"Mathematics, Economics, reports, VBA, dashboards, R, Python, AB, SQL"
Data Analyst,2023-01-13,Masterschool,"Tel Aviv District, Israel",Mid-Senior level,Part-time,Analyst and Training,E-Learning Providers,3+,"Excel, English, Python, SQL"
Data Analyst,2023-01-09,Unilink Ltd.,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,Unknown,"industrial, PowerBI, dashboards, Server, DWH, SQL, ETL, Sql"
Data Scientist,2023-01-09,Shield.,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Financial Services,3+,"Math, DL, programming, Python, AI, NLP"
Data Analyst,2023-01-13,Brainnest,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Internship,"Research, Analyst, and Information Technology",Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, Analyze"
Data Analyst,2023-01-13,Meganet,"Herzliya, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"Excel, English, analysis"
Data Analyst,2023-01-13,One BI,"Tel Aviv-Yafo, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"PowerBI, DWH, SQL"
Data Analyst,2023-01-08,Lusha,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,Unknown,Unknown
Data Analyst,2023-01-08,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Business Development and Sales,Software Development,Unknown,"English, PowerBI, Marketing, SQL, Tableau, Looker"
Data Analyst,2023-01-13,ICE,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"General Business, Information Technology, and Engineering",Financial Services,Unknown,"Economics, English, analyze, Analyze, SQL, Excel"
Data Engineer,2023-01-11,SciPlay,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Computer Games,3+,"Snowflake, Airflow, pipelines, Databricks, Spark, Python, BigQuery, cloud, SQL, pipeline, APIs, ETL, AWS, Redshift"
Data Analyst,2023-01-10,ICE,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,"General Business, Information Technology, and Engineering",Financial Services,3+,"Mathematics, Economics, Python, AB, SQL"
Data Analyst,2023-01-10,Netafim,"Center District, Israel",Not Applicable,Full-time,Finance and Analyst,Farming,3+,"English, Excel"
Data Analyst,2023-01-08,HoneyBook,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,5+,"reports, analyze, visualization, marketing, SQL, Tableau, Looker"
BI Developer,2023-01-13,Broadway Gaming,"Tel Aviv District, Israel",Associate,Full-time,Information Technology,Gambling Facilities and Casinos,3+,"Analysis, OLAP, analysis, database, PowerBI, SQL, Tableau, ETL"
Data Analyst,2023-01-10,Guardio,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology and Analyst,Computer and Network Security,3+,"statistics, Pandas, analysis, visualization, R, Python, C, AB, SQL, cloud"
Data Analyst,2023-01-13,ActiveFence,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,4+,"analyze, AI"
Data Analyst,2023-01-13,Perion Network,"Center District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","IT Services and IT Consulting and Technology, Information and Internet",Unknown,"English, analysis, DB, PowerBI, visualization, aws, SQL, Tableau"
Data Analyst,2023-01-09,HP,"Nes Ziona, Center District, Israel",Not Applicable,Part-time,Quality Assurance,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",Unknown,"English, Industrial, PowerBI, Excel, Tableau"
Data Analyst,2023-01-13,Brainnest,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Internship,Marketing and Sales,Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, database, marketing, AI"
BI Developer,2023-01-09,JFrog,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,3+,"Tableau, ETL, SQL"
Data Analyst,2023-01-13,MAËLYS,"Tel Aviv District, Israel",Mid-Senior level,Full-time,"Information Technology, Analyst, and Marketing","IT Services and IT Consulting, Personal Care Product Manufacturing, and Retail",4+,"Analysis, visualization, Marketing, Python, SQL"
Data Analyst,2023-01-13,Brainnest,"West Jerusalem, Jerusalem District, Israel",Internship,Internship,"Research, Analyst, and Information Technology",Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, Analyze"
Data Analyst,2023-01-13,Shabak - Israeli Security Agency - Career,"Center District, Israel",Entry level,Full-time,"Strategy/Planning, Analyst, and Other",Government Relations Services and Government Administration,Unknown,Unknown
Data Analyst,2023-01-08,ThinkUser,"Tel Aviv-Yafo, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,2+,Unknown
Data Engineer,2023-01-08,Similarweb,"Givatayim, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,"Advertising Services, Software Development, and Technology, Information and Internet",3+,"Linux, SQL, Docker, Airflow, GCP, pipelines, DWH, Python, cloud, ETL, AWS, R, coding, Spark, JS, Kubernetes, Industrial, Hadoop, Redshift"
Data Engineer,2023-01-09,Hello Heart,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Wellness and Fitness Services,4+,"Scala, server, Airflow, BigData, pipelines, MapReduce, Python, Spark, Hadoop, Apache, AWS"
Data Analyst,2023-01-13,Brainnest,"West Jerusalem, Jerusalem District, Israel",Internship,Internship,Marketing and Sales,Business Consulting and Services,Unknown,"English, Analysis, reports, analyze, analysis, database, marketing, AI"
BI Developer,2023-01-13,Intelligent Business,"Center District, Israel",Full-time,Unknown,Unknown,Unknown,2+,"Economics, DAX, PowerBI, Industrial, Statistics, dashboards, Reports, Dashboards, SQL, Excel, PowerQuery"
Data Engineer,2023-01-13,Mertens Hoffman - Malam Team,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"PowerBI, DWH, BigData"
Data Analyst,2023-01-13,Pagaya,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Financial Services,Unknown,"reports, analyze, analysis, PowerBI, dashboards, numpy, AI, Python, C, SQL, Excel, pandas, Looker"
Data Analyst,2023-01-13,Fiverr,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet",6+,"Statistics, excel, AB, SQL"
Data Engineer,2023-01-13,Stealth Startup,"Herzliya, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"programming, Azure, Terraform, Java, API, Docker, Airflow, pipelines, DWH, Python, cloud, ETL, AWS, English, DB, Apache-Beam, pipeline, Kubernetes, Hebrew"
ML/AI Engineer,2023-01-13,Viasat Inc.,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,Defense and Space Manufacturing and Telecommunications,4+,"Mathematics, Docker, ML, Airflow, Bokeh, Statistics, DL, visualization, Seaborn, Spark, Python, C, Matplotlib, SQL"
Data Analyst,2023-01-09,monday.com,"Tel Aviv-Yafo, Tel Aviv District, Israel",Entry level,Full-time,Project Management and Information Technology,Software Development,4+,"Industrial, analysis"
Data Analyst,2023-01-13,Exon Media,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,2+,"analyze, analysis, visualization, economics, mathematics, SQL"
Data Engineer,2023-01-13,STARTICA LTD,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,Unknown,"Scala, ELK, BigData, Airflow, NoSQL, Hive, Python, Spark, Hadoop, SQL, Java, Kafka, HDFS"
Data Analyst,2023-01-10,REE Automotive,"Glil Yam, Center District, Israel",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Motor Vehicle Manufacturing,Unknown,"Economics, DWH, analysis, mining"
ML/AI Engineer,2023-01-13,ZipRecruiter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Other,"Technology, Information and Internet",Unknown,"Mathematics, English, ML, Statistics, programming, DL, Python, NLP"
ML/AI Engineer,2023-01-10,Convizit,"Tel Aviv-Yafo, Tel Aviv District, Israel",Director,Full-time,Engineering and Information Technology,"Technology, Information and Internet",5+,"ML, mining, BigData, analysis, NoSQL, SQL, pipelines, MLOps, Python, Spark, Hadoop, cloud, AI, NLP, AWS"
Data Analyst,2023-01-13,aMoon Fund,"Raanana, Center District, Israel",Entry level,Full-time,Analyst,Venture Capital and Private Equity Principals,Unknown,"English, Hebrew, analysis"
ML/AI Engineer,2023-01-11,Siena AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",5+,"Kubernetes, ETL, ML, BigData, Docker, DL, Javascript, Python, cloud, NLP, AWS"
Data Analyst,2023-01-08,Wiz,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Computer and Network Security,Unknown,"Linux, Docker, Analyze, Cloud, APIs, Python, cloud"
Data Engineer,2023-01-09,Skai,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,"Technology, Information and Internet",2+,"server, Snowflake, analysis, BigData, Airflow, SAAS, PowerBI, java, datadog, Python, coding, pipeline, SQL, QA"
Data Engineer,2023-01-10,Align Technology,"Petah Tikva, Center District, Israel",Not Applicable,Full-time,Information Technology,"IT Services and IT Consulting, Medical Equipment Manufacturing, and Hospitals and Health Care",4+,"English, industrial, PowerBI, economics, Python, SQL, ETL, spark, ELT"
ML/AI Engineer,2023-01-11,ZipRecruiter,"Tel Aviv-Yafo, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering and Information Technology,"Technology, Information and Internet",6+,"Linux, Scala, ML, SciKit-Learn, DL, coding, Python, NLTK, Java, NLP, AWS"
Data Analyst,2023-01-13,Applied Materials,"Rehovot, Center District, Israel",Not Applicable,Full-time,Finance and Sales,"Appliances, Electrical, and Electronics Manufacturing, Nanotechnology Research, and Semiconductor Manufacturing",8+,"English, visualization, SAP, Excel, Tableau"
Data Analyst,2023-01-14,Entain,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Entertainment Providers and Gambling Facilities and Casinos,3+,"English, excel"
Data Scientist,2023-01-13,IdentifAI Genetics,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"algorithms, analysis, programming, pipelines, Python, cloud"
Data Scientist,2023-01-13,Harel Insurance & Finance,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Engineering, Information Technology, and Science","IT Services and IT Consulting, Insurance, and Financial Services",Unknown,"math, ML, visualization, PYTHON, coding, Python, SQL"
Data Scientist,2023-01-10,HoneyBook,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,3+,"English, ML, Cloud, Hebrew, Python, NLP"
Data Scientist,2023-01-08,Amazon,"Tel Aviv-Yafo, Tel Aviv District, Israel",Internship,Full-time,"Research, Science, and Engineering","IT Services and IT Consulting, Software Development, and Technology, Information and Internet",Unknown,"ML, algorithms, analysis, Statistics, programming, Python, C, Java, mining"
Data Engineer,2023-01-10,Nelson System Integration,"Tel Aviv-Yafo, Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,2+,"Linux, English, GCP, Programming, Hebrew, coding, APIs, cloud, Azure, ETL, AWS"
Data Engineer,2023-01-13,GTH Software,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"PowerBI, DBA, Oracle"
Data Analyst,2023-01-13,Duda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Marketing and Sales,"Technology, Information and Internet",4+,"English, statistics, Economics, analysis, PowerBI, Industrial, Math, Statistics, AB, SQL"
Data Engineer,2023-01-13,Tata Consultancy Services,Jerusalem,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,5+,"English, Database, database, R, RAC, Oracle, MongoDB, SQL, c"
Data Analyst,2023-01-13,Confidential,"Center District, Israel",Mid-Senior level,Full-time,Business Development and Sales,IT Services and IT Consulting,5+,"English, SAP"
Data Analyst,2023-01-13,BlackSwan Technologies,Israel,Mid-Senior level,Full-time,Business Development and Sales,Software Development,5+,"Analysis, ML, analysis, Cloud, cloud, AI, ai, ETL"
Data Engineer,2023-01-08,AllCloud,"Rosh HaAyin, Center District, Israel",Mid-Senior level,Full-time,"Engineering, Customer Service, and Information Technology","IT Services and IT Consulting, Software Development, and Computer and Network Security",5+,"Mathematics, English, ML, DB, R, Hive, Cloud, Hebrew, Spark, AI, cloud, Hadoop, SQL, C, APIs, Kafka, AWS"
Data Engineer,2023-01-13,Argus Cyber Security Ltd.,"Tel Aviv-Yafo, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,Motor Vehicle Manufacturing and Computer and Network Security,3+,"Linux, BigData, Java, Apache, Scala, Docker, GCP, Airflow, Python, cloud, Groovy, Kafka, HDFS, AWS, server, Prometheus, Spark, JS, pipeline, Kubernetes, ML"
Data Analyst,2023-01-13,Lightricks,"Jerusalem District, Israel",Mid-Senior level,Full-time,Human Resources,Software Development,5+,analysis
Data Scientist,2023-01-13,Placer.ai,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,"Engineering, Research, and Science",Software Development,5+,"Pandas, BigData, python, Dashboard, visualization, Numpy, Hive, Cloud, Spark, Athena, C, AI, ai, SKlearn"
Data Analyst,2023-01-08,Kissterra,"Tel Aviv District, Israel",Entry level,Full-time,"Business Development, Information Technology, and Marketing",IT Services and IT Consulting and Insurance,2+,"Excel, English"
Data Analyst,2023-01-09,Intuit,"Petah Tikva, Center District, Israel",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Software Development,5+,"Economics, reports, BigData, Math, Statistics, R, marketing, visualization, Python, AB, SQL, Tableau"
Data Analyst,2023-01-09,Sapiens,"Holon, Tel Aviv District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Insurance,3+,"DB, SQL"
Data Engineer,2023-01-13,Shavit Software,"Ramat Gan, Tel Aviv District, Israel",Entry level,Full-time,Information Technology,Staffing and Recruiting,4+,"Scala, ELK, BigData, Hive, Spark, Python, Hadoop, cloud, SQL, Java"
Data Analyst,2023-01-13,6B Studio - 6B סטודיו,"Tel Aviv District, Israel",Other,Unknown,Unknown,Unknown,Unknown,"statistics, R, mathematics, Python, SQL"
Data Analyst,2023-01-14,Orca Security,"Tel Aviv District, Israel",Entry level,Full-time,Engineering and Information Technology,"IT Services and IT Consulting, Software Development, and Computer and Network Security",Unknown,"Linux, English, Analyze, CLI, APIs, cloud"
Data Engineer,2023-01-08,Veeva Systems,"Kiryat Ono, Tel Aviv District, Israel",Not Applicable,Full-time,Engineering,"IT Services and IT Consulting, Software Development, and Pharmaceutical Manufacturing",5+,"Elasticsearch, MySQL, BigData, Database, programming, R, Oracle, Cloud, Spark, Python, Java, AWS"
Data Engineer,2023-01-08,Anodot,"Raanana, Center District, Israel",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development,5+,"Kubernetes, Snowflake, GCP, database, Glue, Azure, Python, Spark, BigQuery, cloud, SQL, lakehouse, AWS, Redshift"
Data Scientist,2023-01-10,Queue,"Tel Aviv District, Israel",Full-time,Unknown,Unknown,Unknown,3+,"ML, algorithms, DL, cloud, AI, NLP, AWS"
Data Analyst,2023-01-09,Teva Pharmaceuticals,"Netanya, Center District, Israel",Associate,Full-time,Information Technology and Analyst,"Software Development, Chemical Manufacturing, and Pharmaceutical Manufacturing",6+,"English, PowerBI, analysis, SQL"
Data Engineer,2023-01-13,CHEQ,"Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology and Engineering,Computer and Network Security,4+,"Postgres, Kinesis, Airflow, BigData, pipelines, Spark, Python, pipeline, Hadoop, SQL, MySQL, Kafka, Apache"
Data Engineer,2023-01-13,TWINGO,"Center District, Israel",Mid-Senior level,Full-time,Information Technology,Software Development,5+,"DBA, Server, Cloud, Python, SQL, OLTP"
Data Engineer,2023-01-13,SQLink Group,"Ramat Gan, Tel Aviv District, Israel",Mid-Senior level,Full-time,Information Technology,"Software Development, Computer and Network Security, and Strategic Management Services",3+,"Scala, BigData, Cloud, js, Spark"
Data Analyst,2023-01-09,Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel",Associate,Full-time,Information Technology,"Technology, Information and Internet",4+,"analysis, programming, SQL, Mathematics, tableau, Tableau, ai, sql, r, English, Economics, server, statistics, java, python, Statistics, pandas, ML, PowerBI, visualization, AI, mining"
